"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-11-30,79238,"48473","MI","Flint","Genesee County","Swartz Creek",5028,150500,0.0053440213760855,0.0168918918918919,0.0688920454545455,,,"2005-05","2005-Q2",151300,-0.00528750826173166,"2005-02"
2018-11-30,71870,"32217","FL","Jacksonville","Duval County","Jacksonville",5029,204100,0.00492368291482029,0.0108964834076275,0.0787526427061311,,,"2018-11","2018-Q4",204100,0,"2018-11"
2018-11-30,72802,"33761","FL","Tampa-St. Petersburg-Clearwater","Pinellas County","Clearwater",5030,215200,0.00232883092687471,0.00749063670411985,0.0835850956696878,,,"2006-08","2006-Q3",223200,-0.03584229390681,"2006-01"
2018-11-30,59344,"04072","ME","Portland-South Portland","York County","Saco",5031,265500,-0.000376506024096386,0.0141329258976318,0.0701330108827086,,,"2018-10","2018-Q4",265600,-0.000376506024096386,"2018-10"
2018-11-30,88623,"70471","LA","New Orleans-Metairie","Saint Tammany Parish","Mandeville",5032,291100,0.00552677029360967,0.0228390723822909,-0.00205690778196778,,,"2017-11","2017-Q4",291700,-0.00205690778196778,"2017-11"
2018-11-30,92660,"78751","TX","Austin-Round Rock","Travis County","Austin",5033,452000,0.00757913508693714,0.019625535754568,0.079531884404108,,,"2018-11","2018-Q4",452000,0,"2018-11"
2018-11-30,76233,"42103","KY","Bowling Green","Warren County","Bowling Green",5034,236900,0.00551782682512733,0.00937366851299531,0.0594812164579606,,,"2018-11","2018-Q4",236900,0,"2018-11"
2018-11-30,71187,"30540","GA",,"Gilmer County","Ellijay",5035,187900,0.00912996777658432,0.0256550218340611,0.0829971181556196,,,"2018-11","2018-Q4",187900,0,"2018-11"
2018-11-30,79494,"49001","MI","Kalamazoo-Portage","Kalamazoo County","Kalamazoo",5036,84500,0.0205314009661836,0.0380835380835381,0.191819464033851,,,"2007-01","2007-Q1",85200,-0.00821596244131455,"2006-12"
2018-11-30,87120,"66204","KS","Kansas City","Johnson County","Overland Park",5037,186800,0.00538213132400431,0.0141150922909881,0.070487106017192,,,"2018-11","2018-Q4",186800,0,"2018-11"
2018-11-30,86333,"64086","MO","Kansas City","Jackson County","Lees Summit",5038,216000,0.00605496040987424,0.0212765957446809,0.11397627643115,,,"2018-11","2018-Q4",216000,0,"2018-11"
2018-11-30,72634,"33477","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County","Jupiter",5039,412600,0.00487092060399415,0.0105314719568944,0.0440283400809717,,,"2006-05","2006-Q2",500700,-0.175953664869183,"2005-04"
2018-11-30,84499,"60448","IL","Chicago-Naperville-Elgin","Will County","Mokena",5040,296400,0.00884955752212389,0.0136798905608755,0.0495750708215297,,,"2007-05","2007-Q2",314600,-0.0578512396694215,"2005-09"
2018-11-30,97043,"92835","CA","Los Angeles-Long Beach-Anaheim","Orange County","Fullerton",5041,805900,0.00111801242236025,-0.00037211610022327,0.0478481341828111,,,"2018-08","2018-Q3",806200,-0.00037211610022327,"2018-08"
2018-11-30,399640,"80023","CO","Denver-Aurora-Lakewood","Broomfield County","Broomfield",5042,622900,0.00581301469400937,0.0108730931515742,0.0392058725392059,,,"2018-11","2018-Q4",622900,0,"2018-11"
2018-11-30,88803,"70785","LA","Baton Rouge","Livingston Parish","Walker",5043,161500,-0.00123685837971552,-0.00798525798525799,0.0521172638436482,,,"2018-08","2018-Q3",162800,-0.00798525798525799,"2018-07"
2018-11-30,73116,"34470","FL","Ocala","Marion County","Ocala",5044,117600,0.0120481927710843,0.04162976085031,0.158620689655172,,,"2006-11","2006-Q4",154700,-0.239819004524887,"2005-08"
2018-11-30,93314,"80238","CO","Denver-Aurora-Lakewood","Denver County","Denver",5045,597600,0.00911854103343465,0.0215384615384615,0.072505384063173,,,"2018-11","2018-Q4",597600,0,"2018-11"
2018-11-30,97837,"94703","CA","San Francisco-Oakland-Hayward","Alameda County","Berkeley",5046,1135000,0.00647335284206793,0.0127598822164718,0.0707547169811321,,,"2018-11","2018-Q4",1135000,0,"2018-11"
2018-11-30,96660,"92118","CA","San Diego-Carlsbad","San Diego County","Coronado",5047,1801000,0.00211440017805475,-0.0002220495170423,0.0100953449242849,,,"2018-09","2018-Q3",1801600,-0.00033303730017762,"2018-08"
2018-11-30,81208,"53092","WI","Milwaukee-Waukesha-West Allis","Ozaukee County","Mequon",5048,354800,0.00738216922203294,0.0172018348623853,0.0438364224771992,,,"2018-11","2018-Q4",354800,0,"2018-11"
2018-11-30,66207,"20105","VA","Washington-Arlington-Alexandria","Loudoun County","Aldie",5049,499200,0.0056406124093473,0.0158730158730159,0.0441330265634804,,,"2006-02","2006-Q1",579000,-0.137823834196891,"2004-12"
2018-11-30,62105,"11419","NY","New York-Newark-Jersey City","Queens County","New York",5050,502200,0.00419916016796641,0.013930950938825,0.0597172399240346,,,"2018-11","2018-Q4",502200,0,"2018-11"
2018-11-30,65789,"19122","PA","Philadelphia-Camden-Wilmington","Philadelphia County","Philadelphia",5051,215900,0.0203213610586011,0.0614552605703048,0.220463538722442,,,"2018-11","2018-Q4",215900,0,"2018-11"
2018-11-30,96866,"92405","CA","Riverside-San Bernardino-Ontario","San Bernardino County","San Bernardino",5052,259200,0.00387296669248644,0.00426191398682681,0.0858818600754085,,,"2006-08","2006-Q3",310000,-0.163870967741935,"2005-09"
2018-11-30,63908,"15120","PA","Pittsburgh","Allegheny County","Munhall",5053,83200,0.00848484848484849,0.0060459492140266,0.138166894664843,,,"2018-11","2018-Q4",83200,0,"2018-11"
2018-11-30,60389,"06605","CT","Bridgeport-Stamford-Norwalk","Fairfield County","Bridgeport",5054,190300,0.0198285101822079,0.062534896705751,0.044456641053787,,,"2007-10","2007-Q4",273400,-0.303950256035113,"2004-01"
2018-11-30,87508,"67213","KS","Wichita","Sedgwick County","Wichita",5055,65000,0.00463678516228748,0,-0.0151515151515152,,,"2005-03","2005-Q1",68100,-0.0455212922173275,"2004-10"
2018-11-30,58716,"02324","MA","Boston-Cambridge-Newton","Plymouth County","Bridgewater",5056,390200,0.00592936323794792,0.0190650300339514,0.0779005524861879,,,"2018-11","2018-Q4",390200,0,"2018-11"
2018-11-30,81970,"54913","WI","Appleton","Outagamie County","Appleton",5057,281600,0.00931899641577061,0.0217706821480406,0.135941912061315,,,"2018-11","2018-Q4",281600,0,"2018-11"
2018-11-30,63639,"14618","NY","Rochester","Monroe County","Brighton",5058,212800,-0.000938967136150235,0.00188323917137476,-0.0143584993052339,,,"2016-07","2016-Q3",233000,-0.0866952789699571,"2016-02"
2018-11-30,99018,"97013","OR","Portland-Vancouver-Hillsboro","Clackamas County","Canby",5059,397800,0.00530705079605762,0.00708860759493671,0.0630678781400321,,,"2018-11","2018-Q4",397800,0,"2018-11"
2018-11-30,75338,"39531","MS","Gulfport-Biloxi-Pascagoula","Harrison County","Biloxi",5060,127400,0.0216519647153168,0.109756097560976,0.298674821610601,,,"2010-07","2010-Q3",133200,-0.0435435435435435,"2009-12"
2018-11-30,72835,"33811","FL","Lakeland-Winter Haven","Polk County","Lakeland",5061,196300,0.000509683995922528,0.0113343637300361,0.0762061403508772,,,"2006-11","2006-Q4",208000,-0.05625,"2006-05"
2018-11-30,70667,"29690","SC","Greenville-Anderson-Mauldin","Greenville County","Travelers Rest",5062,188800,0.00908605024051309,0.0345205479452055,0.14216575922565,,,"2018-11","2018-Q4",188800,0,"2018-11"
2018-11-30,97244,"93405","CA","San Luis Obispo-Paso Robles-Arroyo Grande","San Luis Obispo County","San Luis Obispo",5063,741200,0.000269905533063428,0.0362085838109884,0.101010101010101,,,"2018-11","2018-Q4",741200,0,"2018-11"
2018-11-30,84189,"59802","MT","Missoula","Missoula County","Missoula",5064,304200,0.00695134061569017,0.0238976775496466,0.128338278931751,,,"2018-11","2018-Q4",304200,0,"2018-11"
2018-11-30,95075,"85739","AZ","Tucson","Pima County","Catalina",5065,325600,0.00618046971569839,0.0200501253132832,0.0513400064578624,,,"2007-02","2007-Q1",394200,-0.1740233384069,"2005-06"
2018-11-30,75565,"40211","KY","Louisville/Jefferson County","Jefferson County","Louisville",5066,41400,0,0.00485436893203883,0.258358662613982,,,"2007-07","2007-Q3",66800,-0.380239520958084,"2000-04"
2018-11-30,98897,"96761","HI","Kahului-Wailuku-Lahaina","Maui County","Lahaina",5067,684900,0.00690973243163775,0.0205632543585159,0.0946140322838421,,,"2007-03","2007-Q1",708100,-0.0327637339358848,"2006-08"
2018-11-30,58594,"02048","MA","Providence-Warwick","Bristol County","Mansfield",5068,446800,-0.000447427293064877,0.00585321927059883,0.0580156286999763,,,"2018-10","2018-Q4",447000,-0.000447427293064877,"2018-10"
2018-11-30,62185,"11701","NY","New York-Newark-Jersey City","Suffolk County","Amityville",5069,305600,0.00427209990141308,0.0408719346049046,-0.0304568527918782,,,"2007-09","2007-Q3",381300,-0.198531340152111,"2004-10"
2018-11-30,72688,"33572","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County","Apollo Beach",5070,284200,0.0056617126680821,0.0241441441441441,0.053763440860215,,,"2006-09","2006-Q3",347200,-0.181451612903226,"2005-07"
2018-11-30,78500,"47240","IN","Greensburg","Decatur County","Greensburg",5071,141800,0.00212014134275618,0.028281363306744,0.170933113129645,,,"2018-11","2018-Q4",141800,0,"2018-11"
2018-11-30,82166,"55313","MN","Minneapolis-St. Paul-Bloomington","Wright County","Buffalo",5072,237300,0.00168847615027438,0.0184549356223176,0.0636485880770955,,,"2018-11","2018-Q4",237300,0,"2018-11"
2018-11-30,88568,"70380","LA","Morgan City","Saint Mary Parish","Morgan City",5073,102100,0.00789733464955577,0.021,0.0240722166499498,,,"2018-11","2018-Q4",102100,0,"2018-11"
2018-11-30,78184,"46563","IN","Plymouth","Marshall County","Plymouth",5074,135500,0.0044477390659748,0.0343511450381679,0.102522375915378,,,"2018-11","2018-Q4",135500,0,"2018-11"
2018-11-30,93291,"80215","CO","Denver-Aurora-Lakewood","Jefferson County","Lakewood",5075,477200,0.0112311930493749,0.0286699719767191,0.0632798573975045,,,"2018-11","2018-Q4",477200,0,"2018-11"
2018-11-30,97074,"92881","CA","Riverside-San Bernardino-Ontario","Riverside County","Corona",5076,560500,-0.00408670931058991,-0.00124732715609408,0.0645773979107312,,,"2006-07","2006-Q3",618100,-0.0931888044005824,"2005-04"
2018-11-30,61155,"08731","NJ","New York-Newark-Jersey City","Ocean County","Lacey",5077,238000,-0.00167785234899329,-0.00167785234899329,0.0338835794960904,,,"2006-07","2006-Q3",302900,-0.214262132717068,"2004-07"
2018-11-30,84461,"60406","IL","Chicago-Naperville-Elgin","Cook County","Blue Island",5078,116500,0.0139251523063534,0.0486048604860486,0.153465346534653,,,"2007-03","2007-Q1",160400,-0.273690773067332,"2002-08"
